ASIN,Product Title,Model/StyleNumber,Total Sales,Shipped COGS - % of Total,Shipped COGS - Prior Period,Shipped COGS - Last Year,Total Qty,Shipped Units - % of Total,Shipped Units - Prior Period,Shipped Units - Last Year,Customer Returns,Free Replacements,Date,Drop Ship Qty,Drop Ship Sales,Year,Month,Week,Category
B0719BSYWQ,"HomePop Large Upholstered Rectangular Storage Ottoman Bench with Hinged Lid, Slate Damask",K6384NP-A750,7135.04,0.0259,,-55.58%,58.0,0.0194,,-60.54%,2.0,1.0,2020-01-17,,,2020,1,3,Storage Benches
B00YSQQ7FE,"HomePop Velvet Swoop Arm Accent Chair, Navy",K6499-B215,6725.33,0.024399999999999998,,538.74%,57.0,0.0191,,470.00%,0.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B071QXXTV6,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Pewter Grey and Lattice Cream",K6805-F2061,6615.0,0.024,,263.46%,40.0,0.0134,,207.69%,9.0,2.0,2020-01-17,,,2020,1,3,Dining Chairs
B00R4ZL4P4,"HomePop Chunky Textured Accent Chair, Teal",K6859-F1550,5802.96,0.021099999999999997,,,46.0,0.0154,,,0.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B002HWS7Y0,"HomePop Leatherette Tufted Square Storage Ottoman with Hinged Lid, Brown",N5762-E155,5034.96,0.0183,,-41.37%,145.0,0.048499999999999995,,-48.76%,4.0,3.0,2020-01-17,,,2020,1,3,Storage Ottomans
B07FZRGCF5,"HomePop Large Button Tufted Round Storage Ottoman, Navy",N8264-F2110,4472.14,0.016200000000000003,,,53.0,0.0177,,,1.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B0758577B5,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Dark Gray",K6171-B229,4423.98,0.016,,48.51%,65.0,0.0217,,32.65%,6.0,1.0,2020-01-17,,,2020,1,3,Storage Ottomans
B00I7I0UKM,"HomePop Velvet Tufted Storage Bench Settee with Hinged Lid, Teal",K6211-B122,4410.0,0.016,,26.00%,28.0,0.009399999999999999,,12.00%,1.0,0.0,2020-01-17,,,2020,1,3,Storage Benches
B06ZYC7SZN,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Teal and Cream Geometric",K6805-F2055,4298.86,0.015600000000000001,,151.88%,27.0,0.009000000000000001,,68.75%,1.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B071XYMXC3,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Grey and Cream Geometric",K6805-F2052,4233.81,0.0154,,163.62%,26.0,0.0087,,73.33%,3.0,1.0,2020-01-17,,,2020,1,3,Dining Chairs
B079RWVD8J,"HomePop Square Storage Ottoman with Hinged Lid, Blue Slate",K7646-A750,3949.02,0.0143,,,53.0,0.0177,,,3.0,1.0,2020-01-17,,,2020,1,3,Storage Ottomans
B071R7FQ8Z,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Colorful Paisley",K6805-A727,3827.32,0.0139,,"2,633.80%",25.0,0.0084,,"2,400.00%",2.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B07FZPQ2KY,"HomePop Large Button Tufted Round Storage Ottoman, Brown Faux Leather",N8264-E697,3626.09,0.0132,,,42.0,0.013999999999999999,,,3.0,1.0,2020-01-17,,,2020,1,3,Storage Ottomans
B016YSU2SG,"HomePop Large Button Tufted Round Storage Ottoman, Berry",N8264-B119,3568.76,0.0129,,134.02%,52.0,0.0174,,108.00%,0.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B00YLB2EEE,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Teal",K6171-B122,3540.4,0.0128,,16.91%,53.0,0.0177,,3.92%,3.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B00R56NL76,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Navy",K6171-B215,3262.5,0.0118,,-57.39%,50.0,0.0167,,-62.12%,1.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B01DGBYRSA,"HomePop Round Leatherette Storage Ottoman with Lid, Chocolate Brown",K6862-E846,3257.24,0.0118,,3.03%,55.0,0.0184,,-8.33%,4.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B01LYZKN7T,"HomePop Parsons Upholstered Accent Dining Chair, Set of 2, Sienna",N6354-A708,3240.0,0.0118,,285.71%,23.0,0.0077,,228.57%,1.0,1.0,2020-01-17,,,2020,1,3,Dining Chairs
B06Y65XSXL,"HomePop Velvet Swoop Arm Accent Chair, Burgandy",K6499-B119,3234.49,0.011699999999999999,,115.63%,22.0,0.0074,,100.00%,1.0,1.0,2020-01-17,,,2020,1,3,Accent Chairs
B01M0AH496,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy Velvet",K6805-B215,3105.0,0.0113,,"2,487.50%",23.0,0.0077,,"2,200.00%",2.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B00YSQQ4VQ,"HomePop Velvet Swoop Arm Accent Chair,  Gray",K6499-B214,3103.58,0.0113,,,29.0,0.0097,,,3.0,0.0,2020-01-17,,,2020,1,3,Accent Chairs
B07BYZKL4P,"HomePop Velvet Button Tufted Round Storage Ottoman with Removable Lid, Green",K6171-B228,3033.98,0.011000000000000001,,243.40%,58.0,0.0194,,205.26%,1.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B01DGBYT0G,"HomePop Round Leatherette Storage Ottoman with Lid, Cinnamon Red",K6862-E847,2866.72,0.0104,,-35.94%,41.0,0.0137,,-42.25%,5.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B01DGBYQ0E,"HomePop Round Leatherette Storage Ottoman with Lid, Ivory",K6862-E848,2796.4,0.0101,,66.65%,40.0,0.0134,,48.15%,1.0,0.0,2020-01-17,,,2020,1,3,Storage Ottomans
B06ZYC7SZR,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Navy and Floral",K6805-F2059,2752.1,0.01,,,18.0,0.006,,,1.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B07223PM9F,"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Green and Cream Geometric",K6805-F2053,2680.26,0.0097,,95.43%,21.0,0.006999999999999999,,75.00%,0.0,0.0,2020-01-17,,,2020,1,3,Dining Chairs
B071CFR7JW,"HomePop Parsons Leatherette Counter Height Chair 24-Inch, Black Leather",K1401-24-E073,2629.56,0.0095,,-42.05%,32.0,0.010700000000000001,,-50.77%,16.0,2.0,2020-01-17,,,2020,1,3,Barstools
